REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
Results\speech16k.wav	 Results\initial.wav	 0.427	 1.069	 16000	nb
Results\speech16k.wav	 Results\initial.wav	 -1.000	 1.024	 16000	wb
Results\speech16k.wav	 Results\minimum_statistics_1.wav	 3.508	 3.565	 16000	nb
Results\speech16k.wav	 Results\minimum_statistics_1.wav	 -1.000	 3.899	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 0.396	 1.066	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.024	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 3.413	 3.432	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 2.686	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 2.622	 2.289	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.397	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 3.410	 3.427	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 2.693	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 2.407	 2.026	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.380	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 3.048	 2.894	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 2.220	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 2.407	 2.026	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.380	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 3.048	 2.894	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 2.220	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 2.407	 2.026	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.380	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 2.922	 2.708	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 2.073	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 2.407	 2.026	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 0.670	 1.099	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.087	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 0.707	 1.105	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 1.094	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 0.670	 1.099	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.087	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 0.707	 1.105	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 1.094	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 0.670	 1.099	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.087	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 0.727	 1.108	 16000	nb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 -1.000	 1.098	 16000	wb
Files\speech16k.wav	 Files\initial.wav	 0.670	 1.099	 16000	nb
Files\speech16k.wav	 Files\initial.wav	 -1.000	 1.087	 16000	wb
Files\speech16k.wav	 Files\minimum_statistics_1.wav	 0.727	 1.108	 16000	nb
